Time,PacketsReceived,Distance
54.7037,530,64.7037
54.8037,531,64.8037
54.9037,532,64.9037
55.0037,533,65.0037
55.1037,534,65.1037
55.2037,535,65.2037
55.3037,536,65.3037
55.4037,537,65.4037
55.5037,538,65.5037
55.6037,539,65.6037
55.7037,540,65.7037
55.8037,541,65.8037
55.9037,542,65.9037
56.0037,543,66.0037
56.1037,544,66.1037
56.2037,545,66.2037
56.3037,546,66.3037
56.4037,547,66.4037
56.5037,548,66.5037
56.6037,549,66.6037
56.7037,550,66.7037
56.8037,551,66.8037
56.9037,552,66.9037
57.0037,553,67.0037
57.1037,554,67.1037
57.2037,555,67.2037
57.3037,556,67.3037
57.4037,557,67.4037
57.5037,558,67.5037
57.6037,559,67.6037
57.7037,560,67.7037
57.8037,561,67.8037
57.9037,562,67.9037
58.0037,563,68.0037
58.1037,564,68.1037
58.2037,565,68.2037
58.3037,566,68.3037
58.4037,567,68.4037
58.5037,568,68.5037
58.6037,569,68.6037
58.7037,570,68.7037
58.8037,571,68.8037
58.9037,572,68.9037
59.0037,573,69.0037
59.1037,574,69.1037
59.2037,575,69.2037
59.3037,576,69.3037
59.4037,577,69.4037
59.5037,578,69.5037
59.6037,579,69.6037
59.7037,580,69.7037
59.8037,581,69.8037
59.9037,582,69.9037
60.0037,583,70.0037
60.1037,584,70.1037
60.2037,585,70.2037
60.3037,586,70.3037
60.4037,587,70.4037
60.5037,588,70.5037
60.6037,589,70.6037
60.7037,590,70.7037
60.8037,591,70.8037
60.9037,592,70.9037
61.0037,593,71.0037
61.1037,594,71.1037
61.2037,595,71.2037
61.3037,596,71.3037
61.4037,597,71.4037
61.5037,598,71.5037
61.6037,599,71.6037
61.7037,600,71.7037
61.8037,601,71.8037
61.9037,602,71.9037
62.0037,603,72.0037
62.1037,604,72.1037
62.2037,605,72.2037
62.3037,606,72.3037
62.4037,607,72.4037
62.5037,608,72.5037
62.6037,609,72.6037
62.7037,610,72.7037
62.8037,611,72.8037
63.0037,612,73.0037
63.1037,613,73.1037
63.2037,614,73.2037
63.3037,615,73.3037
63.4037,616,73.4037
63.5037,617,73.5037
63.6037,618,73.6037
63.7037,619,73.7037
63.8037,620,73.8037
64.0037,621,74.0037
64.1037,622,74.1037
64.2037,623,74.2037
64.3037,624,74.3037
64.4037,625,74.4037
64.5037,626,74.5037
64.6037,627,74.6037
64.7037,628,74.7037
64.8037,629,74.8037
64.9037,630,74.9037
65.0037,631,75.0037
65.1037,632,75.1037
65.2037,633,75.2037
65.3037,634,75.3037
65.4037,635,75.4037
65.5037,636,75.5037
65.6037,637,75.6037
65.7037,638,75.7037
65.8037,639,75.8037
65.9037,640,75.9037
66.0037,641,76.0037
66.1037,642,76.1037
66.2037,643,76.2037
66.3037,644,76.3037
66.4037,645,76.4037
66.5037,646,76.5037
66.6037,647,76.6037
66.7037,648,76.7037
66.8037,649,76.8037
66.9037,650,76.9037
67.0037,651,77.0037
67.1037,652,77.1037
67.2037,653,77.2037
67.3037,654,77.3037
67.4037,655,77.4037
67.5037,656,77.5037
67.6037,657,77.6037
67.7037,658,77.7037
67.8037,659,77.8037
67.9037,660,77.9037
68.0037,661,78.0037
68.1037,662,78.1037
68.2037,663,78.2037
68.3037,664,78.3037
68.4037,665,78.4037
68.5037,666,78.5037
68.6037,667,78.6037
68.7037,668,78.7037
68.8037,669,78.8037
68.9037,670,78.9037
